"Date_Listened","Song_Name","Artist","Feature_Artists","Album","Duration","Genre","Subgenre","Tempo_BPM","Key_Signature","Album_Release_Date","Listen_History_PK"
"2023-02-03","Wanting You","PLAZA","","One","240","R&B","Alternative R&B","112","F# Minor","2016-08-29","1163"
"2023-02-03","Get Even","PLAZA","","Nocturnes","200","R&B","Alternative R&B","155","F Minor","2021-10-01","1164"
"2023-02-03","Money Mission (Unplugged)","Lyfe Harris","","Money Mission (Unplugged)","196","R&B","Trap Soul","144","F Major","2021-08-13","1165"
"2023-02-03","Emotion","Lyfe Harris","","Nothing New","214","R&B","Trap Soul","119","C# Minor","2021-02-10","1166"
"2023-02-03","Why Can't I","Artie J","","I Hate Pretty Girls","204","R&B","Trap Soul","96","D# Minor","2020-02-16","1167"
"2023-02-03","Vision","Norman Perry","","Way Darker This Time","131","R&B","Trap Soul","131","C# Major","2020-04-10","1168"
"2023-02-03","Like That","Norman Perry","","XX2","240","R&B","Trap Soul","90","B Minor","2018-10-02","1169"
"2023-02-03","MAFIA","Travis Scott","","ESCAPE PLAN / MAFIA","240","Hip-Hop","Trap","110","C Minor","2021-11-05","1170"
"2023-02-03","From The Garden (feat. Lil Uzi Vert)","Isaiah Rashad","Lil Uzi Vert","The House Is Burning","189","Hip-Hop","Southern Hip-Hop","142","F# Minor","2021-07-30","1171"
"2023-02-03","Chemtrails Over The Country Club","Lana Del Rey","","Chemtrails Over The Country Club","271","Pop","Indie Pop","201","E Minor","2021-03-19","1172"
"2023-02-03","I Want Her Too","Artie J","","Emotional Indulgence","172","R&B","Trap Soul","90","B Minor","2021-10-08","1173"
"2023-02-03","Diamond","Norman Perry","","XX2","134","R&B","Trap Soul","129","C# Minor","2018-10-02","1174"
"2023-02-03","Hold you up (feat. Annahstasia & Steven Bamidele)","KayCyy","Annahstasia, Steven Bamidele","Get Used To It","236","Soul","Alternative Soul","200","A# Minor","2022-06-02","1175"
"2023-02-03","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","A$AP Rocky, Playboi Carti","Lust for Life","260","Pop","Indie Pop","135","C# Major","2017-07-21","1176"
"2023-02-03","Don't Panic","Lyfe Harris","","Don't Panic","112","R&B","Trap Soul","108","A# Minor","2020-01-06","1177"
"2023-02-03","Dark Hearted","Freddie Gibbs","","$oul $old $eparately","205","Hip-Hop","Rap","96","D# Minor","2022-09-30","1178"
"2023-02-04","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","A$AP Rocky, Playboi Carti","Lust for Life","260","Pop","Indie Pop","135","C# Major","2017-07-21","1179"
"2023-02-04","Cash Flow","TYuS","","Cash Flow","194","R&B","Trap Soul","99","G# Major","2015-11-24","1180"
"2023-02-04","Wus Good / Curious","PARTYNEXTDOOR","","PARTYNEXTDOOR","212","R&B","Trap Soul","83","B Major","2013-07-01","1181"
"2023-02-04","The Party & The After Party","The Weeknd","","Trilogy","459","R&B","Alternative R&B","204","F Minor","2012-11-13","1182"
"2023-02-04","Recognize (feat. Drake)","PARTYNEXTDOOR","Drake","PARTYNEXTDOOR TWO","311","R&B","Trap Soul","120","D Major","2014-07-29","1183"
"2023-02-04","The Fall","The Weeknd","","Trilogy","345","R&B","Alternative R&B","75","C# Major","2012-11-13","1184"
"2023-02-04","Break From Toronto","PARTYNEXTDOOR","","PARTYNEXTDOOR","99","R&B","Trap Soul","117","A Major","2013-07-01","1185"
"2023-02-04","Shotgun","Future","","SAVE ME","258","R&B","Trap Soul","128","D Major","2019-06-07","1186"
"2023-02-04","Rebel","Norman Perry","","Way Darker This Time","153","R&B","Trap Soul","125","D# Minor","2020-04-10","1187"
"2023-02-04","Sky","Playboi Carti","","Whole Lotta Red","193","Hip-Hop","Vapor Trap","140","D Major","2020-12-25","1188"
"2023-02-04","Kinda Like It","Black Atlass","","Pain & Pleasure","265","R&B","Alternative R&B","83","B Minor","2018-07-12","1189"
"2023-02-04","Bentley Keys","Lyfe Harris","","Bentley Keys","145","R&B","Trap Soul","108","F Minor","2020-10-23","1190"
"2023-02-04","Nobody Knows","PLAZA","","Nocturnes","254","R&B","Alternative R&B","147","C Minor","2021-10-01","1191"
"2023-02-04","I Want You","Artie J","","I Hate Pretty Girls","187","R&B","Trap Soul","110","C# Major","2020-02-16","1192"
"2023-02-04","Money Mission (Unplugged)","Lyfe Harris","","Money Mission (Unplugged)","196","R&B","Trap Soul","144","F Major","2021-08-13","1193"
"2023-02-04","Backseat","Joe Trufant","","Fall Through 2","209","R&B","Contemporary R&B","102","D Minor","2020-04-10","1194"
"2023-02-04","I Want Her Too","Artie J","","Emotional Indulgence","172","R&B","Trap Soul","90","B Minor","2021-10-08","1195"
"2023-02-04","Hamptons","Lyfe Harris","","Hamptons","168","R&B","Trap Soul","97","C# Minor","2020-09-24","1196"
"2023-02-04","Cash Flow","TYuS","","Cash Flow","194","R&B","Trap Soul","99","G# Major","2015-11-24","1197"
"2023-02-04","Don't Panic","Lyfe Harris","","Don't Panic","112","R&B","Trap Soul","108","A# Minor","2020-01-06","1198"
"2023-02-04","Remembrance","Lyfe Harris","","Remembrance","158","R&B","Trap Soul","194","D# Minor","2021-09-01","1199"
"2023-02-04","Top Floor","Lyfe Harris","","Since We're Here","126","R&B","Trap Soul","106","C# Minor","2020-04-04","1200"
"2023-02-04","Doll House","Lyfe Harris","","Since We're Here","135","R&B","Trap Soul","108","G Major","2020-04-04","1201"
"2023-02-04","Medals","Lyfe Harris","","Since We're Here","148","R&B","Trap Soul","102","102","2020-04-04","1202"
"2023-02-04","Pawn","Lyfe Harris","","Since We're Here","153","R&B","Trap Soul","100","E Major","2020-04-04","1203"
"2023-02-04","High For This","The Weeknd","","Trilogy","247","R&B","Alternative R&B","75","B Minor","2012-11-13","1204"
"2023-02-04","What You Need","The Weeknd","","Trilogy","196","R&B","Alternative R&B","134","C Minor","2012-11-13","1205"
"2023-02-04","House of Balloons / Glass Table Girls","The Weeknd","","Trilogy","405","R&B","Alternative R&B","89","C Major","2012-11-13","1206"
"2023-02-04","The Morning","The Weeknd","","Trilogy","312","R&B","Alternative R&B","120","F# Minor","2012-11-13","1207"
"2023-02-04","Wicked Games","The Weeknd","","Trilogy","323","R&B","Alternative R&B","114","A Major","2012-11-13","1208"
"2023-02-04","The Party & The After Party","The Weeknd","","Trilogy","459","R&B","Alternative R&B","204","F Minor","2012-11-13","1209"
"2023-02-04","Coming Down","The Weeknd","","Trilogy","295","R&B","Alternative R&B","121","D Minor","2012-11-13","1210"
"2023-02-04","Loft Music","The Weeknd","","Trilogy","363","R&B","Alternative R&B","172","F# Minor","2012-11-13","1211"
"2023-02-04","The Knowing","The Weeknd","","Trilogy","340","R&B","Alternative R&B","86","F# Minor","2012-11-13","1212"
"2023-02-04","Twenty Eight","The Weeknd","","Trilogy","258","R&B","Alternative R&B","130","D# Minor","2012-11-13","1213"
"2023-02-04","Reason","PLAZA","","One","241","R&B","Alternative R&B","174","C Major","2016-08-29","1214"
"2023-02-04","Heartbreaker","Tilladre","","Heartbreaker","234","R&B","Alternative R&B","82","A Major","2020-08-28","1215"
"2023-02-04","Salty","Lyfe Harris","","Since We're Here","134","R&B","Trap Soul","94","C# Minor","2020-04-04","1216"
"2023-02-04","Loft Music","The Weeknd","","Trilogy","363","R&B","Alternative R&B","172","F# Minor","2012-11-13","1217"
"2023-02-04","Streams","LVNDVN","","Streams","240","R&B","Alternative R&B","120","F Minor","2019-11-22","1218"
"2023-02-04","Sundress","A$AP Rocky","","Sundress","158","Rock","Psychadelic Rock","125","F# Major","2018-11-20","1219"
"2023-02-04","Fly Gyal","Artie J","","Emotional Indulgence","180","R&B","Trap Soul","140","B Minor","2021-10-08","1220"
"2023-02-04","Single","The Neighbourhood","","Wiped Out!","262","Rock","Alternative Rock","54","D Minor","2015-10-30","1221"
"2023-02-04","FWM","Tone Stith","","FWM","196","R&B","Contemporary R&B","142","G Minor","2021-06-11","1222"
"2023-02-04","Pain & Pleasure","Black Atlass","","Pain & Pleasure","194","R&B","Alternative R&B","151","C# Minor","2018-07-12","1223"
"2023-02-04","Waterfalls","LVNDVN","","Moon Lit District","214","R&B","Alternative R&B","151","A Minor","2017-09-15","1224"
"2023-02-04","Love You Again","PLAZA","","SHADOW","281","R&B","Alternative R&B","138","B Minor","2017-06-11","1225"
"2023-02-04","I Want Her Too","Artie J","","Emotional Indulgence","172","R&B","Trap Soul","90","B Minor","2021-10-08","1226"
"2023-02-05","Recognize (feat. Drake)","PARTYNEXTDOOR","Drake","PARTYNEXTDOOR TWO","311","R&B","Trap Soul","120","D Major","2014-07-29","1227"
"2023-02-05","The Fall","The Weeknd","","Trilogy","345","R&B","Alternative R&B","75","C# Major","2012-11-13","1228"
"2023-02-05","Tell Your Friends","The Weeknd","","Beauty Behind The Madness","334","R&B","Contemporary R&B","75","C# Minor","2015-08-28","1229"
"2023-02-05","Party Monster","The Weeknd","","Starboy","249","Pop","Electropop","78","C# Major","2016-11-25","1230"
"2023-02-05","Moon Lit District","LVNDVN","","Moon Lit District","295","R&B","Alternative R&B","112","A# Minor","2017-09-15","1231"
"2023-02-05","The Knowing","The Weeknd","","Trilogy","340","R&B","Alternative R&B","86","F# Minor","2012-11-13","1232"
"2023-02-05","Salty","Lyfe Harris","","Since We're Here","134","R&B","Trap Soul","94","C# Minor","2020-04-04","1233"
"2023-02-05","Use Me","PLAZA","","Nocturnes","238","R&B","Alternative R&B","147","B Minor","2021-10-01","1234"
"2023-02-05","Doll House","Lyfe Harris","","Since We're Here","135","R&B","Trap Soul","108","G Major","2020-04-04","1235"
"2023-02-05","You Know","Lyfe Harris","","Nothing New","179","R&B","Trap Soul","89","F Minor","2021-02-10","1236"
"2023-02-05","Find Her","Lyfe Harris","","Nothing New","133","R&B","Trap Soul","89","F# Minor","2021-02-10","1237"
"2023-02-05","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","A$AP Rocky, Playboi Carti","Lust for Life","260","Pop","Indie Pop","135","C# Major","2017-07-21","1238"
"2023-02-05","R.I.P.","Playboi Carti","","Die Lit","192","Hip-Hop","Vapor Trap","140","G# Major","2018-05-11","1239"
"2023-02-05","DOMINO","Thouxanbanfauni","","CLAIRVOYANCE","122","Hip-Hop","Vapor Trap","133","G Minor","2020-07-21","1240"
"2023-02-05","Sky","Playboi Carti","","Whole Lotta Red","193","Hip-Hop","Vapor Trap","140","D Major","2020-12-25","1241"
"2023-02-05","Don't Panic","Lyfe Harris","","Don't Panic","112","R&B","Trap Soul","108","A# Minor","2020-01-06","1242"
"2023-02-05","Multiply (feat. Juicy J)","A$AP Rocky","Juicy J","Multiply (feat. Juicy J)","223","Hip-Hop","Rap","115","C Major","2014-10-07","1243"
"2023-02-05","Excuse Me","A$AP Rocky","","AT.LONG.LAST.A$AP","238","Hip-Hop","Psychadelic Hip-Hop","122","G# Major","2015-05-26","1244"
"2023-02-05","FWU","Artie J","","Trap Girls Club","201","R&B","Trap Soul","134","A# Minor","2021-01-10","1245"
"2023-02-05","Bentley Keys","Lyfe Harris","","Bentley Keys","145","R&B","Trap Soul","108","F Minor","2020-10-23","1246"
"2023-02-05","FREAK IN YOU","PARTYNEXTDOOR","","COLOURS 2","272","R&B","Contemporary R&B","87","C# Major","2017-06-02","1247"
"2023-02-05","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","A$AP Rocky, Playboi Carti","Lust for Life","260","Pop","Indie Pop","135","C# Major","2017-07-21","1248"
"2023-02-05","Don't Panic","Lyfe Harris","","Don't Panic","112","R&B","Trap Soul","108","A# Minor","2020-01-06","1249"
"2023-02-05","Streams","LVNDVN","","Streams","240","R&B","Alternative R&B","120","F Minor","2019-11-22","1250"
"2023-02-05","Moon Lit District","LVNDVN","","Moon Lit District","295","R&B","Alternative R&B","112","A# Minor","2017-09-15","1251"
"2023-02-05","Loft Music","The Weeknd","","Trilogy","363","R&B","Alternative R&B","172","F# Minor","2012-11-13","1252"
"2023-02-05","Top Floor","Lyfe Harris","","Since We're Here","126","R&B","Trap Soul","106","C# Minor","2020-04-04","1253"
"2023-02-05","Stick Talk","Future","","DS2 (Deluxe)","171","Hip-Hop","Trap","160","G Major","2015-07-17","1254"
"2023-02-05","Break From Toronto","PARTYNEXTDOOR","","PARTYNEXTDOOR","99","R&B","Trap Soul","117","A Major","2013-07-01","1255"
"2023-02-05","Find Her","Lyfe Harris","","Nothing New","133","R&B","Trap Soul","89","F# Minor","2021-02-10","1256"
"2023-02-05","Serial Killer","Lyfe Harris","","Nothing New","202","R&B","Trap Soul","110","F Minor","2021-02-10","1257"
"2023-02-05","You Know","Lyfe Harris","","Nothing New","179","R&B","Trap Soul","89","F Minor","2021-02-10","1258"
"2023-02-05","Don't Panic","Lyfe Harris","","Don't Panic","112","R&B","Trap Soul","108","A# Minor","2020-01-06","1259"
"2023-02-05","Love You Again","PLAZA","","SHADOW","281","R&B","Alternative R&B","138","B Minor","2017-06-11","1260"
"2023-02-05","Turn On Me","Future","","HNDRXX","264","Hip-Hop","Trap","127","B Major","2017-07-27","1261"
"2023-02-05","The Party & The After Party","The Weeknd","","Trilogy","459","R&B","Alternative R&B","204","F Minor","2012-11-13","1262"
"2023-02-05","Water","PLAZA","","One","181","R&B","Alternative R&B","104","C# Minor","2016-08-29","1263"
"2023-02-05","The Knowing","The Weeknd","","Trilogy","340","R&B","Alternative R&B","86","F# Minor","2012-11-13","1264"
"2023-02-05","Lie To Me","Black Atlass","","Dream Awake","210","R&B","Alternative R&B","158","B Minor","2020-04-03","1265"
"2023-02-05","Loft Music","The Weeknd","","Trilogy","363","R&B","Alternative R&B","172","F# Minor","2012-11-13","1266"
"2023-02-05","Break From Toronto","PARTYNEXTDOOR","","PARTYNEXTDOOR","99","R&B","Trap Soul","117","A Major","2013-07-01","1267"
"2023-02-05","Still Alive","PLAZA","","Nocturnes","198","R&B","Alternative R&B","147","G Minor","2021-10-01","1268"
"2023-02-05","Salty","Lyfe Harris","","Since We're Here","134","R&B","Trap Soul","94","C# Minor","2020-04-04","1269"
"2023-02-05","Wus Good / Curious","PARTYNEXTDOOR","","PARTYNEXTDOOR","212","R&B","Trap Soul","83","B Major","2013-07-01","1270"
"2023-02-05","Use Me","PLAZA","","Nocturnes","238","R&B","Alternative R&B","147","B Minor","2021-10-01","1271"
"2023-02-05","Locations","LVNDVN","","HYPRWRLD","219","R&B","Alternative R&B","92","B Minor","2019-04-12","1272"
"2023-02-05","Cash Flow","TYuS","","Cash Flow","194","R&B","Trap Soul","99","G# Major","2015-11-24","1273"
"2023-02-05","Phone Me","Che Ecru","","Phone Me","134","R&B","Indie R&B","87","B Minor","2019-06-27","1274"
"2023-02-05","I Want Her Too","Artie J","","Emotional Indulgence","172","R&B","Trap Soul","90","B Minor","2021-10-08","1275"
"2023-02-05","Unwanted","Artie J","","Emotional Indulgence","250","R&B","Trap Soul","118","C# Minor","2021-10-08","1276"
"2023-02-05","Missing You","Artie J","","Emotional Indulgence","247","R&B","Trap Soul","62","F# Minor","2021-10-08","1277"
"2023-02-06","Kinda Like It","Black Atlass","","Pain & Pleasure","265","R&B","Alternative R&B","83","B Minor","2018-07-12","1278"
"2023-02-06","Single","The Neighbourhood","","Wiped Out!","262","Rock","Alternative Rock","54","D Minor","2015-10-30","1279"
"2023-02-06","In Too Deep","Artie J","","Trap Girls Club","271","R&B","Trap Soul","152","A# Minor","2021-01-10","1280"
"2023-02-06","More 2 Us","TYuS","","More 2 Us","228","R&B","Trap Soul","74","F# Minor","2020-06-16","1281"
"2023-02-06","Stick Talk","Future","","DS2 (Deluxe)","171","Hip-Hop","Trap","160","G Major","2015-07-17","1282"
"2023-02-06","Where Ya At (feat. Drake)","Future","Drake","DS2 (Deluxe)","208","Hip-Hop","Trap","162","C# Major","2015-07-17","1283"
"2023-02-06","Get Even","PLAZA","","Nocturnes","200","R&B","Alternative R&B","155","F Minor","2021-10-01","1284"
"2023-02-06","R.I.P. 2 My Youth","The Neighbourhood","","Wiped Out!","205","Rock","Alternative Rock","94","G Minor","2015-10-30","1285"
"2023-02-06","You Know","Lyfe Harris","","Nothing New","179","R&B","Trap Soul","89","F Minor","2021-02-10","1286"
"2023-02-06","Find Her","Lyfe Harris","","Nothing New","133","R&B","Trap Soul","89","F# Minor","2021-02-10","1287"
"2023-02-06","Heartbreaker","Tilladre","","Heartbreaker","234","R&B","Alternative R&B","82","A Major","2020-08-28","1288"
"2023-02-06","Twenty Eight","The Weeknd","","Trilogy","258","R&B","Alternative R&B","130","D# Minor","2012-11-13","1289"
"2023-02-06","Often","The Weeknd","","Beauty Behind The Madness","249","R&B","Alternative R&B","134","G Minor","2015-08-28","1290"
"2023-02-06","The Zone","The Weeknd","Drake","Trilogy","418","R&B","Alternative R&B","140","D# Minor","2012-11-13","1291"
"2023-02-06","Government Official","Future","","SAVE ME","150","Hip-Hop","Trap","145","C# Major","2019-06-07","1292"
"2023-02-06","brand new","Alley","Lev, Svi","brand new","212","R&B","Trap Soul","134","E Minor","2022-01-28","1293"
"2023-02-06","WAIT FOR U (feat. Drake & Tems)","Future","Drake, Tems","I NEVER LIKED YOU","189","Hip-Hop","Trap","83","C# Major","2022-04-29","1294"
"2023-02-06","Live For","The Weeknd","Drake","Kiss Land","222","R&B","Alternative R&B","76","C Major","2013-01-01","1295"
"2023-02-06","Party Monster","The Weeknd","","Starboy","249","Pop","Electropop","78","C# Major","2016-11-25","1296"
"2023-02-06","The Knowing","The Weeknd","","Trilogy","340","R&B","Alternative R&B","86","F# Minor","2012-11-13","1297"
"2023-02-06","MAFIA","Travis Scott","","ESCAPE PLAN / MAFIA","240","Hip-Hop","Trap","110","C Minor","2021-11-05","1298"
"2023-02-06","White Dress","Lana Del Rey","","Chemtrails Over The Country Club","333","Pop","Indie Pop","123","C Major","2021-03-19","1299"
"2023-02-06","Hold you up (feat. Annahstasia & Steven Bamidele)","KayCyy","Annahstasia, Steven Bamidele","Get Used To It","236","Soul","Alternative Soul","200","A# Minor","2022-06-02","1300"
"2023-02-06","Let The Smokers Shine The Coupes","Pusha T","","It's Almost Dry","150","Hip-Hop","Rap","99","C# Major","2022-04-22","1301"
"2023-02-06","Diet Coke","Pusha T","","It's Almost Dry","180","Hip-Hop","Rap","164","A# Minor","2022-04-22","1302"
"2023-02-06","Mask Off","Future","","FUTURE","204","Hip-Hop","Trap","150","D Major","2017-06-30","1303"
"2023-02-06","FREAK IN YOU","PARTYNEXTDOOR","","COLOURS 2","272","R&B","Contemporary R&B","87","C# Major","2017-06-02","1304"
"2023-02-07","Government Official","Future","","SAVE ME","150","Hip-Hop","Trap","145","C# Major","2019-06-07","1305"
"2023-02-07","Massage In My Room","Future","","FUTURE","155","Hip-Hop","Trap","76","C# Major","2017-06-30","1306"
"2023-02-07","No Romance","Lyfe Harris","","Since We're Here","137","R&B","Trap Soul","105","G Major","2020-04-04","1307"
"2023-02-07","Mission","Norman Perry","","Way Darker This Time","127","R&B","Trap Soul","136","F# Minor","2020-04-10","1308"
"2023-02-07","Medals","Lyfe Harris","","Since We're Here","148","R&B","Trap Soul","102","102","2020-04-04","1309"
"2023-02-07","Uncontrollable","Artie J","","Emotional Indulgence","141","R&B","Trap Soul","112","A# Major","2021-10-08","1310"
"2023-02-07","Fly Gyal","Artie J","","Emotional Indulgence","180","R&B","Trap Soul","140","B Minor","2021-10-08","1311"
