Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/02,Over,PLAZA,,SHADOW,268,R&B,Alternative R&B,66,D Minor,2017/06/11
2023/02/03,Top Floor,Lyfe Harris,,Since We're Here,126,R&B,Trap Soul,106,C# Minor,2020/04/04
2023/02/03,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
2023/02/03,Recognize (feat. Drake),PARTYNEXTDOOR,Drake,PARTYNEXTDOOR TWO,311,R&B,Trap Soul,120,D Major,2014/07/29
2023/02/03,Lie To Me,Black Atlass,,Dream Awake,210,R&B,Alternative R&B,158,B Minor,2020/04/03
2023/02/03,Mission,Norman Perry,,Way Darker This Time,127,R&B,Trap Soul,136,F# Minor,2020/04/10
2023/02/03,Again,PLAZA,,One,196,R&B,Alternative R&B,68,A Minor,2016/08/29
2023/02/03,Bentley Keys,Lyfe Harris,,Bentley Keys,145,R&B,Trap Soul,108,F Minor,2020/10/23
2023/02/03,Palace,A$AP Rocky,,LIVE.LOVE.A$AP,162,Hip-Hop,East Coast Hip-Hop,134,G Major,2011/10/31
2023/02/03,Top Floor,Lyfe Harris,,Since We're Here,126,R&B,Trap Soul,106,C# Minor,2020/04/04
2023/02/03,Pain & Pleasure,Black Atlass,,Pain & Pleasure,194,R&B,Alternative R&B,151,C# Minor,2018/07/12
2023/02/03,Someone Else,Norman Perry,,Way Darker This Time,185,R&B,Trap Soul,89,A# Minor,2020/04/10
2023/02/03,Wanting You,PLAZA,,One,240,R&B,Alternative R&B,112,F# Minor,2016/08/29
2023/02/03,Get Even,PLAZA,,Nocturnes,200,R&B,Alternative R&B,155,F Minor,2021/10/01
2023/02/03,Money Mission (Unplugged),Lyfe Harris,,Money Mission (Unplugged),196,R&B,Trap Soul,144,F Major,2021/08/13
2023/02/03,Emotion,Lyfe Harris,,Nothing New,214,R&B,Trap Soul,119,C# Minor,2021/02/10
2023/02/03,Why Can't I,Artie J,,I Hate Pretty Girls,204,R&B,Trap Soul,96,D# Minor,2020/02/16
2023/02/03,Vision,Norman Perry,,Way Darker This Time,131,R&B,Trap Soul,131,C# Major,2020/04/10
2023/02/03,Like That,Norman Perry,,XX2,240,R&B,Trap Soul,90,B Minor,2018/10/02
2023/02/03,MAFIA,Travis Scott,,ESCAPE PLAN / MAFIA,240,Hip-Hop,Trap,110,C Minor,2021/11/05
2023/02/03,From The Garden (feat. Lil Uzi Vert),Isaiah Rashad,Lil Uzi Vert,The House Is Burning,189,Hip-Hop,Southern Hip-Hop,142,F# Minor,2021/07/30
2023/02/03,Chemtrails Over The Country Club,Lana Del Rey,,Chemtrails Over The Country Club,271,Pop,Indie Pop,201,E Minor,2021/03/19
2023/02/03,I Want Her Too,Artie J,,Emotional Indulgence,172,R&B,Trap Soul,90,B Minor,2021/10/08
2023/02/03,Diamond,Norman Perry,,XX2,134,R&B,Trap Soul,129,C# Minor,2018/10/02
2023/02/03,Hold you up (feat. Annahstasia & Steven Bamidele),KayCyy,"Annahstasia, Steven Bamidele",Get Used To It ,236,Soul,Alternative Soul,200,A# Minor,2022/06/02
2023/02/03,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,"A$AP Rocky, Playboi Carti",Lust for Life,260,Pop,Indie Pop,135,C# Major,2017/07/21
2023/02/03,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
